uf_abbr,cases_2024,hosp_2024,hosp_known_2024,deaths_2024,outcome_known_2024,cases_pre,hosp_pre,hosp_known_pre,deaths_pre,outcome_known_pre,H_2024,H_2024_lo,H_2024_hi,H_pre,H_pre_lo,H_pre_hi,H_change_pp,hosp_completeness_2024,hosp_completeness_pre,or_hosp_2024_vs_pre,or_lo,or_hi,p_fisher
SE,30,29,30,6,23,137,131,134,29,109,0.9666666666666667,0.8278305443665873,0.9991564290733695,0.9776119402985075,0.9359674436880373,0.9953590314157845,-1.0945273631840835,1.0,0.9781021897810219,0.665990100004579,0.05133886709955406,36.05301281080168,0.5579928209702656
AC,106,29,101,1,103,740,208,713,4,714,0.2871287128712871,0.20145503076584834,0.38568943837149944,0.2917251051893408,0.2585789001846395,0.3266052997572289,-0.4596392318053699,0.9528301886792453,0.9635135135135136,0.977924725996793,0.5941076306717006,1.5763273866924774,1.0
PB,31,29,31,6,26,99,90,96,7,92,0.9354838709677419,0.7857838428365977,0.9920890165381453,0.9375,0.8689149641980591,0.9767204122692275,-0.20161290322581182,1.0,0.9696969696969697,0.9669267135686259,0.16118507987327352,10.305671937588409,1.0
PR,429,297,420,50,409,1538,1070,1511,121,1458,0.7071428571428572,0.6610769320679858,0.7502620791221997,0.7081403044341495,0.6844979115929688,0.7309709377611775,-0.09974472912923638,0.9790209790209791,0.982444733420026,0.9951928212565381,0.780452288041231,1.273683677390552,1.0
RJ,334,258,311,41,277,1099,874,1059,141,972,0.8295819935691319,0.783091573580257,0.8696623160556823,0.8253068932955618,0.8010710679237001,0.8477189096607823,0.42751002735700316,0.9311377245508982,0.9636032757051866,1.0303735240350078,0.730420342877542,1.4709759458461376,0.9321940950610454
MA,56,52,56,11,50,139,125,136,12,124,0.9285714285714286,0.8270953018606302,0.9801960684911702,0.9191176470588235,0.8598880545306147,0.958932041124462,0.945378151260512,1.0,0.9784172661870504,1.1432180624942014,0.3198155442689614,5.149556132223886,1.0
AM,51,44,50,7,49,208,176,204,21,193,0.88,0.7568986832944374,0.9546646792263361,0.8627450980392157,0.8077720728325337,0.9068186772545754,1.7254901960784275,0.9803921568627451,0.9807692307692307,1.165983103713529,0.4370791566543737,3.658775752635217,1.0
PE,227,186,216,34,210,1272,976,1165,172,1171,0.8611111111111112,0.8077002784483243,0.904290508618211,0.8377682403433476,0.8153221197309355,0.8584935818953675,2.3342870767763535,0.9515418502202643,0.9158805031446541,1.2004625964694782,0.7848443235562864,1.886692292495117,0.4187076710642027
MG,162,120,159,14,148,936,668,914,73,858,0.7547169811320755,0.6802922982533415,0.8193969422607086,0.7308533916849015,0.7008394063568864,0.7593711718514884,2.386358944717404,0.9814814814814815,0.9764957264957265,1.1329891478264793,0.7586123055729965,1.7204948991591458,0.5607014843922175
TO,13,7,13,1,11,41,19,37,0,35,0.5384615384615384,0.25134548227030357,0.807767558198712,0.5135135135135135,0.34399681566576623,0.6807858935184598,2.494802494802495,1.0,0.9024390243902439,1.1030549113061414,0.2594970418924044,4.822099064029972,1.0
ES,84,46,72,1,62,354,201,331,8,324,0.6388888888888888,0.5171286480970214,0.7488371482214387,0.6072507552870091,0.5523607193484222,0.6602034131511012,3.1638133601879725,0.8571428571428571,0.9350282485875706,1.1438998064025465,0.6555040225712231,2.029003325995684,0.6894043043525729
BA,149,138,146,16,120,492,437,482,76,411,0.9452054794520548,0.8948889156523929,0.9760497154794583,0.9066390041493776,0.8770718110883438,0.9310858322770789,3.8566475302677206,0.9798657718120806,0.9796747967479674,1.7749001184398603,0.8024934012691892,4.46705299604479,0.17418295801941436
SC,254,195,253,17,245,1092,772,1075,53,1022,0.7707509881422925,0.7139614945522942,0.8210767572989648,0.718139534883721,0.6902076481570429,0.7448717109724257,5.261145325857153,0.9960629921259843,0.9844322344322345,1.3193038787690823,0.9486101653626408,1.8547483667820466,0.09911235171502561
PI,8,8,8,0,3,43,39,43,0,33,1.0,0.6305833524471808,1.0,0.9069767441860465,0.7786465546186137,0.9740687097336765,9.302325581395355,1.0,1.0,,0.11438966671918933,,1.0
MS,11,11,11,1,10,38,34,38,1,31,1.0,0.7150858470818456,1.0,0.8947368421052632,0.751950620782978,0.9705654825542123,10.526315789473683,1.0,1.0,,0.1856662551672438,,0.5620268458909927
