onset_year,onset_month,notified,confirmed,hospitalised,hosp_known,deaths,outcome_known,lab_confirmed,crit_known,severe,sev_known,population,days_in_month,person_years,incidence_per_100k_py,incidence_lo,incidence_hi,confirmed_among_notified,confirmed_among_notified_lo,confirmed_among_notified_hi,H,H_lo,H_hi,lab_share,lab_share_lo,lab_share_hi,severe_share,severe_share_lo,severe_share_hi,cfr,cfr_lo,cfr_hi,hosp_completeness,outcome_completeness,criterion_completeness,H_worst_case_bound,month_start
2019,11,149,46,35,46,2,40,37,46,23,46,11194346,30.0,919453.4702258727,5.0029720360617755,3.6628043179497274,6.673263595983049,0.3087248322147651,0.23569593914624037,0.3895414819136138,0.7608695652173914,0.6123310898859283,0.8741386051774309,0.8043478260869565,0.6608524004890015,0.9064242655785913,0.5,0.34903815242370567,0.6509618475762944,0.05,0.006113646599350841,0.16919686395941763,1.0,0.8695652173913043,1.0,0.7608695652173914,2019-11-01
2019,12,118,29,20,28,1,29,23,28,10,24,11194346,31.0,950101.9192334018,3.0523041173728926,2.044175971480887,4.383617861985937,0.2457627118644068,0.17118084987152254,0.3335224876902634,0.7142857142857143,0.5133316845510594,0.8677634874288749,0.8214285714285714,0.6310666505807963,0.9393570911807925,0.4166666666666667,0.22109690534667853,0.6335693543436376,0.034482758620689655,0.0008726468835799229,0.1776442954887229,0.9655172413793104,1.0,0.9655172413793104,0.7241379310344828,2019-12-01
2020,1,151,49,39,49,1,46,37,48,23,49,11220286,31.0,952303.5345653662,5.145418264394422,3.8066087579286307,6.802515819967456,0.32450331125827814,0.2506521120003635,0.40539870189202876,0.7959183673469388,0.6565700069535181,0.897550614504752,0.7708333333333334,0.6268797526841399,0.8796698331742165,0.46938775510204084,0.32533872511655376,0.6172692650662404,0.021739130434782608,0.0005502356948807106,0.11527182559799,1.0,0.9387755102040817,0.9795918367346939,0.7959183673469388,2020-01-01
2020,2,153,43,34,43,0,41,39,43,21,42,11220286,29.0,890864.5968514716,4.826771672369997,3.4931585924449435,6.5016297667557215,0.28104575163398693,0.2114477231580632,0.35933414873450187,0.7906976744186046,0.6395752479058333,0.8995588533220705,0.9069767441860465,0.7786465546186137,0.9740687097336765,0.5,0.3419475770509645,0.6580524229490354,0.0,0.0,0.08604383629402844,1.0,0.9534883720930233,1.0,0.7906976744186046,2020-02-01
2020,3,99,29,12,28,1,26,23,26,6,27,11220286,31.0,952303.5345653662,3.0452475442334332,2.039450073700722,4.373483445863218,0.29292929292929293,0.20573859307171544,0.39290872698476176,0.42857142857142855,0.24462393630214666,0.628206371387904,0.8846153846153846,0.6984595998924322,0.9755419246820378,0.2222222222222222,0.08621693994756673,0.42258306004437896,0.038461538461538464,0.0009732878933350311,0.19636964676253893,0.9655172413793104,0.896551724137931,0.896551724137931,0.4482758620689655,2020-03-01
2020,4,80,21,14,21,0,21,14,21,6,19,11220286,30.0,921584.0657084188,2.278685231374673,1.4105420729126474,3.4832124305738374,0.2625,0.17040925110040822,0.372850830212432,0.6666666666666666,0.4303245170958757,0.8541230576569032,0.6666666666666666,0.4303245170958757,0.8541230576569032,0.3157894736842105,0.12576063587298333,0.5655015688461509,0.0,0.0,0.1610976152190796,1.0,1.0,1.0,0.6666666666666666,2020-04-01
2020,5,49,9,3,9,0,9,7,9,2,8,11220286,31.0,952303.5345653662,0.9450768240724448,0.43214930408261065,1.7940501984187966,0.1836734693877551,0.08759033531284731,0.32022121442886853,0.3333333333333333,0.07485463141969183,0.7007049437914596,0.7777777777777778,0.39990642628368794,0.9718550265221018,0.25,0.031854026249944246,0.6508557944128242,0.0,0.0,0.3362671168799428,1.0,1.0,1.0,0.3333333333333333,2020-05-01
2020,6,40,13,8,13,1,12,11,13,8,13,11220286,30.0,921584.0657084188,1.410614667041464,0.7510929006441661,2.412194041253354,0.325,0.18572896676334985,0.49129487547844847,0.6153846153846154,0.31577760291406304,0.8614206611098394,0.8461538461538461,0.5455289443234423,0.9807933280174715,0.6153846153846154,0.31577760291406304,0.8614206611098394,0.08333333333333333,0.0021075932318602286,0.38479616515094406,1.0,0.9230769230769231,1.0,0.6153846153846154,2020-06-01
2020,7,64,10,4,10,2,10,10,10,5,10,11220286,31.0,952303.5345653662,1.0500853600804942,0.5035567465704158,1.9311443646390731,0.15625,0.07755733180012322,0.26863424426625704,0.4,0.1215522581198272,0.7376219233930549,1.0,0.6915028921812392,1.0,0.5,0.18708602844739855,0.8129139715526015,0.2,0.025210726326833386,0.5560954623076415,1.0,1.0,1.0,0.4,2020-07-01
2020,8,33,4,1,4,0,4,4,4,2,4,11220286,31.0,952303.5345653662,0.42003414403219774,0.1144451673303662,1.07545423320076,0.12121212121212122,0.0340328814229787,0.2820162285372203,0.25,0.0063094632097098705,0.8058795503167565,1.0,0.3976353643835254,1.0,0.5,0.067585986488543,0.932414013511457,0.0,0.0,0.6023646356164746,1.0,1.0,1.0,0.25,2020-08-01
