field,scope,cases,valid,completeness,completeness_lo,completeness_hi
cli_icteri,Q2,12771,12315,0.9642941038289875,0.9609291641019764,0.9674452463247828
cli_icteri,Q3,12779,12327,0.9646294702245872,0.9612801257654923,0.9677649827469998
cli_icteri,Q4,12692,11750,0.9257800189095493,0.9210819187581336,0.9302817343753226
cli_icteri,Q5,13008,12381,0.9517988929889298,0.9479772748691093,0.9554167112645233
cli_conges,national,63914,59247,0.9269800043808868,0.9249357290519516,0.9289854108879458
cli_conges,Q1,12664,12152,0.9595704358812381,0.9559932731612477,0.9629343691092765
cli_conges,Q2,12771,12193,0.954741210555164,0.9509918056264672,0.9582815695446929
cli_conges,Q3,12779,12150,0.9507786211753658,0.9468848078253375,0.9544654544191438
cli_conges,Q4,12692,11139,0.8776394579262528,0.8718121925162627,0.8832929343346824
cli_conges,Q5,13008,11613,0.8927583025830258,0.8873144202519796,0.8980257552443824
cli_pantur,national,63914,60022,0.9391056732484275,0.9372238866593058,0.9409474692684002
cli_pantur,Q1,12664,12247,0.9670720151610865,0.9638152724089696,0.9701117143518516
cli_pantur,Q2,12771,12225,0.9572468874794456,0.9535934467260774,0.9606900492330266
cli_pantur,Q3,12779,12187,0.9536739964003443,0.9498858833702695,0.9572537178065915
cli_pantur,Q4,12692,11599,0.913882760794201,0.9088673173685989,0.9187074475982344
cli_pantur,Q5,13008,11764,0.9043665436654367,0.8991834185951317,0.9093679353331992
cli_renal,national,63914,59139,0.9252902337516037,0.9232246937087407,0.9273170608629502
cli_renal,Q1,12664,12119,0.956964624131396,0.9532841443913957,0.9604331760488858
cli_renal,Q2,12771,12066,0.9447968052619216,0.9406943297620648,0.948695064012006
cli_renal,Q3,12779,12075,0.94490961734095,0.9408122541923605,0.9488028381091694
cli_renal,Q4,12692,11124,0.8764576110936023,0.870607018815703,0.8821349646954848
cli_renal,Q5,13008,11755,0.9036746617466175,0.8984753917050134,0.9086925151174585
cli_hemorr,national,63914,58700,0.9184216290640548,0.9162726913009187,0.9205324867081912
cli_hemorr,Q1,12664,12102,0.9556222362602653,0.9518899305082777,0.95914328108638
cli_hemorr,Q2,12771,12062,0.9444835956463864,0.9403706375429041,0.9483924877497774
cli_hemorr,Q3,12779,12042,0.942327255653807,0.9381444282004242,0.9463071810150997
cli_hemorr,Q4,12692,11008,0.8673179955877718,0.861292609824141,0.8731743940732818
cli_hemorr,Q5,13008,11486,0.8829950799507995,0.877347158626541,0.8884710178854539
cli_hemopu,national,63914,58700,0.9184216290640548,0.9162726913009187,0.9205324867081912
cli_hemopu,Q1,12664,12103,0.9557012002526848,0.9519719178888776,0.9592191825253209
cli_hemopu,Q2,12771,12061,0.9444052932425026,0.940289720024766,0.948316838136671
cli_hemopu,Q3,12779,12042,0.942327255653807,0.9381444282004242,0.9463071810150997
cli_hemopu,Q4,12692,11008,0.8673179955877718,0.861292609824141,0.8731743940732818
cli_hemopu,Q5,13008,11486,0.8829950799507995,0.877347158626541,0.8884710178854539
cli_respir,national,63914,59794,0.9355383796977188,0.9336068576844077,0.9374302417888294
cli_respir,Q1,12664,12161,0.9602811118130132,0.9567327819811539,0.9636158553684975
cli_respir,Q2,12771,12204,0.9556025369978859,0.9518857661067186,0.9591098389700953
cli_respir,Q3,12779,12233,0.9572736520854527,0.9536224430265716,0.960714701511619
cli_respir,Q4,12692,11325,0.8922943586511188,0.886771410375323,0.897636680886555
cli_respir,Q5,13008,11871,0.9125922509225092,0.9076074906187304,0.9173915051646762
cli_cardia,national,63914,58274,0.9117564226929937,0.9095308315159754,0.9139445467047782
cli_cardia,Q1,12664,12047,0.9512792166771952,0.9473851953897213,0.9549641200252619
cli_cardia,Q2,12771,11991,0.9389241249706366,0.9346307392456591,0.9430161097649926
cli_cardia,Q3,12779,11991,0.9383363330464043,0.9340258577169132,0.9424458147913144
cli_cardia,Q4,12692,10857,0.8554207374724235,0.8491816516644994,0.8614963598580379
cli_cardia,Q5,13008,11388,0.8754612546125461,0.8696643911779536,0.8810895583664172
cli_mening,national,63914,58334,0.9126951841537065,0.9104801516833372,0.9148726631860391
cli_mening,Q1,12664,12058,0.9521478205938092,0.9482854499273181,0.955800646361278
cli_mening,Q2,12771,12031,0.9420562211259885,0.9378632010155261,0.9460463412610768
cli_mening,Q3,12779,12000,0.9390406135065341,0.9347522910714068,0.943127606235723
cli_mening,Q4,12692,10861,0.855735896627797,0.8495022826221649,0.8618059010159372
cli_mening,Q5,13008,11384,0.8751537515375154,0.8693509563094556,0.8807881267091711
cli_outros,national,63914,56363,0.8818568701692899,0.8793293152616315,0.8843496982983396
cli_outros,Q1,12664,11781,0.9302747946936197,0.9256999045564289,0.9346507204766523
cli_outros,Q2,12771,11597,0.9080729778404197,0.9029294545117326,0.9130296484394631
cli_outros,Q3,12779,11514,0.9010094686595195,0.8957006566907495,0.9061348385134966
cli_outros,Q4,12692,10729,0.8453356445004727,0.8389265607241947,0.8515859397551513
cli_outros,Q5,13008,10742,0.82579950799508,0.8191705396916302,0.8322823792363442
block_known,national,63914,52051,0.8143912131927278,0.8113549847437413,0.8173988703121218
block_known,Q1,12664,11357,0.89679406190777,0.891364462503927,0.9020405244668294
block_known,Q2,12771,10925,0.8554537624305066,0.8492349492770095,0.8615101122244591
block_known,Q3,12779,10824,0.8470146333828938,0.8406553461311379,0.8532154449096869
block_known,Q4,12692,9439,0.7436968168925308,0.7360065571909657,0.7512751802081434
block_known,Q5,13008,9506,0.7307810578105781,0.7230691916579559,0.7383895514132988
