health_region_code,year,dH,dCFR,outcome_known,hosp_known
23001,2011,-0.04022988505747127,-0.20273003033367037,86,87
23001,2012,0.0023510971786833146,0.011627906976744186,43,44
23001,2013,0.20454545454545459,-0.06976744186046512,17,21
23001,2014,-0.26315789473684215,0.15789473684210525,38,38
23001,2015,0.17620137299771166,-0.07093821510297482,23,23
23001,2016,-0.03209109730848858,0.18133616118769885,41,42
23001,2017,-0.0714285714285714,-0.16302952503209245,19,21
23001,2018,0.14396456256921375,0.18741976893453144,41,43
23001,2019,-0.06459948320413444,-0.1380437515715363,97,99
23001,2020,0.008547008547008628,-0.0007930214115781098,39,39
23001,2021,0.05128205128205121,-0.051282051282051294,39,39
23001,2022,-0.053195560658247154,0.018648018648018655,66,67
23001,2023,0.018270715388574388,0.013403263403263393,52,58
23001,2024,0.002873563218390718,-0.06443994601889338,57,60
23001,2025,-0.09523809523809523,0.025978407557354935,52,56
25001,2012,-0.10033444816053505,-0.010869565217391297,12,13
25001,2013,0.03076923076923077,-0.019230769230769218,13,10
25001,2018,-0.06666666666666665,-0.22307692307692306,13,12
25001,2023,0.0714285714285714,-0.06190476190476191,14,14
25001,2024,0.0,0.24107142857142858,16,20
25001,2025,-0.617283950617284,-0.3125,75,81
26010,2008,-0.004490326912585441,-0.07626876047928678,143,141
26010,2009,0.08372253935305307,0.006503051089038342,157,164
26010,2010,-0.17152704135737007,-0.006540647900828714,186,184
26010,2011,0.14778289663115463,0.044486611849040694,306,302
26010,2012,0.01778838749422451,0.07916930212945393,93,86
26010,2013,-0.017254313578394576,-0.11135660627485638,146,124
26010,2014,-0.14288218793828888,0.032391552511415525,192,184
26010,2015,0.20674266525273943,0.04820736434108529,129,123
26010,2016,-0.07137094271706079,-0.029923564807285752,143,131
26010,2017,0.018651137168489873,0.0032585215831289205,191,194
26010,2018,-0.022229381443299,-0.003214262045198507,158,160
26010,2019,0.03380102040816324,0.026663075680043113,188,196
26010,2020,-0.013144240747146263,0.17375886524822692,60,59
26010,2021,0.023593220338983034,-0.13172043010752688,124,125
26010,2022,-0.11359652928416486,-0.07356412273800156,492,461
26010,2023,0.08197950800756915,0.029845956354300374,190,188
26010,2024,0.0037206482196008306,-0.006853070175438597,192,193
26010,2025,0.0018210592494635192,-0.00002125850340134461,245,239
27001,2008,-0.171875,-0.05273343009192065,53,64
27001,2009,0.053230932203389814,0.001451378809869383,52,59
27001,2010,-0.04802259887005644,-0.05060728744939272,38,42
27001,2011,0.07843137254901955,0.06743421052631579,64,68
27001,2012,-0.13051470588235292,0.10625000000000001,30,32
27001,2013,0.05208333333333337,-0.061111111111111116,36,36
27001,2014,-0.051515151515151514,-0.02568134171907757,53,55
27001,2015,0.0007905138339920903,-0.013207547169811318,20,23
27001,2016,0.14046822742474918,0.13076923076923078,13,13
27001,2017,-0.10826210826210836,-0.10349650349650352,55,54
27001,2018,0.12804232804232807,-0.03352272727272726,32,35
27001,2019,-0.01978021978021971,0.011513157894736836,38,39
27001,2020,0.03988603988603978,0.03759398496240601,28,27
27001,2021,-0.06296296296296289,-0.031746031746031744,18,20
27001,2022,0.01836734693877551,0.11337868480725624,49,49
27001,2023,0.01913265306122447,-0.030941408821593158,31,32
27001,2024,-0.05288461538461542,0.006451612903225823,25,26
27001,2025,0.03538461538461546,0.1333333333333333,24,25
