health_region_code,id_space,u_model_A,u_model_B,or_A,or_B
28003,130,1.52202469615515,1.08808577809216,4.58149193992083,2.96858609773331
28004,131,1.57663693885386,1.12174365397324,4.83865572244317,3.07020291029394
28005,132,1.28998152717166,0.902736876079957,3.63271944853021,2.46634396030477
28006,133,1.21608734267268,0.850318364860622,3.37396072197263,2.34039183185133
28007,134,1.36372027975024,0.941631322772907,3.91071522690167,2.56416098249742
29001,135,0.696720654092754,0.415248355535191,2.00715973200305,1.51474688975525
29002,136,-0.218606361365887,-0.192424456909562,0.803637998863583,0.824956635623481
29003,137,0.0318561231844123,0.038949021799796,1.03236896066074,1.03971747937332
29004,138,0.785179879650504,0.425376436720728,2.19280134559912,1.53016632205362
29005,139,0.176524881904757,0.0255760497665486,1.19306411209789,1.02590592320978
29006,140,0.802433646649986,0.530025597984603,2.23096370460153,1.69897579841825
29007,141,0.139855588790113,0.106555811470887,1.1501076984199,1.11244001162646
29008,142,-0.102763207500523,-0.0913858681908751,0.902340615675849,0.912665474369731
29009,143,0.484241999948352,0.155339891397574,1.62294435058208,1.16805490545658
29010,144,-0.0111434967638137,-0.0571019361962168,0.98891836200869,0.944497785947589
29011,145,0.195576005835175,0.0811514583828247,1.21601121435781,1.0845351460673
29012,146,1.04960689827025,0.730971087280131,2.85652799123164,2.07709667078567
29013,147,0.442470603159754,0.272702900067179,1.55654808454576,1.31350994313244
29014,148,0.50558457102828,0.294869038238732,1.65795442936084,1.3429504720102
29015,149,0.286073156104725,0.0762991319296981,1.33118983635331,1.07928537459172
29016,150,0.129990321983639,0.0245689582154581,1.13881736177823,1.02487326210172
29017,151,0.488255109405371,0.316922984274322,1.62947049020128,1.37289683320785
29018,152,1.07801468511945,0.728176962988635,2.93883923428654,2.0713011050581
29019,153,0.806654210492597,0.538848183887424,2.24039952758719,1.71403147569109
29020,154,0.807463508585032,0.455462293229122,2.24221341253897,1.57690220576882
29021,155,-0.127789534978573,-0.112425283744404,0.880038576993089,0.893664115850626
