health_region_code,health_region_name,uf_abbr,region,cases,deaths,outcome_known,H,person_years
29019,RIBEIRA DO POMBAL,BA,Nordeste,6,1,6,0.8333333333333334,6988208
29020,SALVADOR,BA,Nordeste,1377,203,1211,0.9580265095729014,60131332
29021,SANTA MARIA DA VITORIA,BA,Nordeste,2,0,1,1.0,5649289
29022,SANTO ANTONIO DE JESUS,BA,Nordeste,34,0,28,0.9393939393939394,8791220
29023,SEABRA,BA,Nordeste,3,0,1,0.3333333333333333,3510113
29024,SENHOR DO BONFIM,BA,Nordeste,2,0,1,1.0,5623518
29025,SERRINHA,BA,Nordeste,12,2,6,1.0,10928060
29026,TEIXEIRA DE FREITAS,BA,Nordeste,13,2,13,0.6153846153846154,8252167
29027,VALENCA,BA,Nordeste,45,7,41,0.9111111111111111,5384449
29028,VITORIA DA CONQUISTA,BA,Nordeste,16,3,13,0.7333333333333333,12881505
31001,ALFENAS/MACHADO,MG,Sudeste,24,0,20,0.7391304347826086,5589421
31002,GUAXUPE,MG,Sudeste,12,1,11,0.5,2621562
31003,ITAJUBA,MG,Sudeste,137,4,126,0.6814814814814815,3852711
31004,LAVRAS,MG,Sudeste,12,1,9,0.4166666666666667,3441832
31006,POCOS DE CALDAS,MG,Sudeste,33,2,33,0.6060606060606061,4403238
31007,POUSO ALEGRE/SANTA RITA DO SAPUCAI,MG,Sudeste,149,3,141,0.6180555555555556,10293111
31008,SAO LOURENCO,MG,Sudeste,142,6,132,0.6879432624113475,4913510
31009,SAO SEBASTIAO DO PARAISO,MG,Sudeste,18,0,18,0.5555555555555556,2380739
31010,TRES CORACOES,MG,Sudeste,10,0,9,0.7777777777777778,2124964
31011,TRES PONTAS,MG,Sudeste,17,0,16,0.4375,2369167
31012,VARGINHA,MG,Sudeste,13,2,11,0.7692307692307693,4005578
31013,BARBACENA,MG,Sudeste,22,5,21,0.8636363636363636,4347967
31015,SAO JOAO DEL REI,MG,Sudeste,30,4,26,0.6551724137931034,4499390
31016,BELO HORIZONTE/NOVA LIMA/SANTA LUZIA,MG,Sudeste,429,38,396,0.9043062200956937,62926800
31017,BETIM,MG,Sudeste,106,14,100,0.8811881188118812,13097418
31018,CONTAGEM,MG,Sudeste,118,29,114,0.9655172413793104,15822267
31019,CURVELO,MG,Sudeste,7,1,6,0.8571428571428571,3429434
31020,GUANHAES,MG,Sudeste,2,0,2,0.5,1753399
31021,ITABIRA,MG,Sudeste,35,2,34,0.7941176470588235,4336427
31022,OURO PRETO,MG,Sudeste,22,0,22,0.9090909090909091,3485108
31023,JOAO MONLEVADE,MG,Sudeste,7,1,6,0.7142857142857143,2642589
31024,SETE LAGOAS,MG,Sudeste,27,1,22,0.6538461538461539,8108731
31025,VESPASIANO/LAGOA SANTA,MG,Sudeste,23,3,20,0.8095238095238095,5997171
31026,DIAMANTINA/ITAMARANDIBA,MG,Sudeste,13,1,9,0.75,2756126
31027,TURMALINA/MINAS NOVAS/CAPELINHA,MG,Sudeste,7,2,7,0.8571428571428571,2234915
31028,BOM DESPACHO,MG,Sudeste,23,1,19,0.7272727272727273,2072662
31030,FORMIGA,MG,Sudeste,17,0,15,0.5882352941176471,3016912
31031,ITAUNA,MG,Sudeste,14,0,10,0.7857142857142857,2376386
31032,PARA DE MINAS/NOVA SERRANA,MG,Sudeste,9,3,7,0.7777777777777778,4530298
31034,CARATINGA,MG,Sudeste,17,0,16,0.625,3767179
31035,CORONEL FABRICIANO/TIMOTEO,MG,Sudeste,40,8,38,0.8461538461538461,4237583
31036,GOVERNADOR VALADARES,MG,Sudeste,37,9,37,0.7837837837837838,7957119
31037,IPATINGA,MG,Sudeste,41,8,38,0.85,7310619
31038,MANTENA/ITABIRINHA,MG,Sudeste,6,1,6,1.0,1288000
31040,RESPLENDOR,MG,Sudeste,6,0,4,0.6,1603819
31041,ALEM PARAIBA,MG,Sudeste,19,2,19,0.8888888888888888,1047960
31042,CARANGOLA,MG,Sudeste,46,5,44,0.9130434782608695,2428933
31044,LEOPOLDINA/CATAGUASES,MG,Sudeste,60,13,57,0.7966101694915254,3338688
31045,MURIAE,MG,Sudeste,50,6,46,0.86,3202295
31046,SANTOS DUMONT,MG,Sudeste,2,1,2,1.0,945916
31047,SAO JOAO NEPOMUCENO,MG,Sudeste,7,0,6,1.0,1360322
31048,UBA,MG,Sudeste,86,11,81,0.7469879518072289,5724301
31052,JANAUBA/MONTE AZUL,MG,Sudeste,4,0,4,0.75,5164802
31053,JANUARIA,MG,Sudeste,1,0,1,0.0,2148019
31055,PIRAPORA,MG,Sudeste,3,0,2,1.0,2644164
31057,PATOS DE MINAS,MG,Sudeste,43,0,42,0.7441860465116279,4956444
31058,UNAI/PARACATU,MG,Sudeste,17,0,14,0.625,5077742
31059,MANHUACU,MG,Sudeste,109,13,107,0.75,6490573
31060,PONTE NOVA,MG,Sudeste,57,8,52,0.9298245614035088,4071659
31061,VICOSA,MG,Sudeste,12,0,12,0.8333333333333334,2566461
31062,AGUAS FORMOSAS,MG,Sudeste,3,2,3,1.0,1102689
31064,ARACUAI,MG,Sudeste,1,0,1,1.0,1615143
31065,ITAOBIM,MG,Sudeste,2,0,2,0.5,1516959
31066,NANUQUE,MG,Sudeste,8,0,7,0.75,1266908
31067,PADRE PARAISO,MG,Sudeste,4,1,4,1.0,1106905
31068,PEDRA AZUL,MG,Sudeste,1,0,1,1.0,1206636
31070,ARAXA,MG,Sudeste,27,3,24,0.8148148148148148,3446317
31071,FRUTAL / ITURAMA,MG,Sudeste,17,1,16,0.7647058823529411,3205458
31072,UBERABA,MG,Sudeste,29,5,28,1.0,7669656
31073,ITUIUTABA,MG,Sudeste,7,2,7,1.0,3608992
31074,PATROCINIO/MONTE CARMELO,MG,Sudeste,34,4,30,0.7878787878787878,3654484
31075,UBERLANDIA/ARAGUARI,MG,Sudeste,62,7,60,0.8688524590163934,16975055
31076,MANGA,MG,Sudeste,3,0,3,0.6666666666666666,1099987
31077,JOAO PINHEIRO,MG,Sudeste,2,0,2,0.0,1331850
31078,CONGONHAS,MG,Sudeste,34,0,34,0.8235294117647058,2303812
31079,CONSELHEIRO LAFAIETE,MG,Sudeste,21,1,18,0.5714285714285714,3503376
31082,SAO GOTARDO,MG,Sudeste,18,0,18,0.8333333333333334,1858043
31083,BOCAIUVA,MG,Sudeste,2,0,2,1.0,1415444
31084,MONTES CLAROS,MG,Sudeste,9,2,9,1.0,8178760
