health_region_code,health_region_name,uf_abbr,region,cases,deaths,outcome_known,hosp_known,person_years,H,cfr,incidence_per_100k,outcome_completeness,years_observed,excluded_at_10,excluded_at_20,excluded_at_30,excluded_at_50
27007,7ª REGIAO DE SAUDE,AL,Nordeste,14,0,11,13,9665439,0.6923076923076923,0.0,0.14484598164656567,0.7857142857142857,19,false,true,true,true
27008,8ª REGIAO DE SAUDE,AL,Nordeste,9,0,8,9,2937435,0.8888888888888888,0.0,0.3063897584116755,0.8888888888888888,19,true,true,true,true
27009,9ª REGIAO DE SAUDE,AL,Nordeste,8,2,6,8,4358664,0.5,0.3333333333333333,0.1835424799892811,0.75,19,true,true,true,true
27010,10ª REGIAO DE SAUDE,AL,Nordeste,9,2,5,9,2910696,1.0,0.4,0.30920439647424536,0.5555555555555556,19,true,true,true,true
28001,ARACAJU,SE,Nordeste,420,100,392,415,15200431,0.946987951807229,0.25510204081632654,2.763079546889164,0.9333333333333333,19,false,false,false,false
28002,ESTANCIA,SE,Nordeste,20,3,18,20,4471126,0.9,0.16666666666666666,0.44731461381316473,0.9,19,false,false,true,true
28003,ITABAIANA,SE,Nordeste,33,7,19,31,4686065,0.9354838709677419,0.3684210526315789,0.7042155838640736,0.5757575757575758,19,false,false,false,true
28004,LAGARTO,SE,Nordeste,21,7,17,21,4828022,0.9523809523809523,0.4117647058823529,0.4349607354730364,0.8095238095238095,19,false,false,true,true
28005,NOSSA SENHORA DA GLORIA,SE,Nordeste,7,3,6,7,3151886,0.8571428571428571,0.5,0.2220892506899044,0.8571428571428571,19,true,true,true,true
28006,NOSSA SENHORA DO SOCORRO,SE,Nordeste,212,47,203,210,6233699,0.9666666666666667,0.2315270935960591,3.400870013133454,0.9575471698113207,19,false,false,false,false
28007,PROPRIA,SE,Nordeste,36,11,36,36,2908481,0.9722222222222222,0.3055555555555556,1.2377595040160139,1.0,19,false,false,false,true
29001,ALAGOINHAS,BA,Nordeste,14,1,11,14,9737033,1.0,0.09090909090909091,0.14378096489967734,0.7857142857142857,19,false,true,true,true
29002,BARREIRAS,BA,Nordeste,5,0,2,5,8472929,0.8,0.0,0.059011470531618995,0.4,19,true,true,true,true
29003,BRUMADO,BA,Nordeste,4,0,4,4,7574329,0.0,0.0,0.052809958479490396,1.0,19,true,true,true,true
29004,CAMACARI,BA,Nordeste,107,15,91,99,10722812,0.9595959595959596,0.16483516483516483,0.9978725729780583,0.8504672897196262,19,false,false,false,false
29005,CRUZ DAS ALMAS,BA,Nordeste,19,1,17,18,4804099,0.8333333333333334,0.058823529411764705,0.39549559657284333,0.8947368421052632,19,false,true,true,true
29006,FEIRA DE SANTANA,BA,Nordeste,62,10,51,60,21579051,0.85,0.19607843137254902,0.28731569335463364,0.8225806451612904,19,false,false,false,false
29007,GUANAMBI,BA,Nordeste,8,1,7,8,8819125,0.5,0.14285714285714285,0.09071194704690091,0.875,19,true,true,true,true
29008,IBOTIRAMA,BA,Nordeste,3,0,3,3,3633130,0.3333333333333333,0.0,0.08257342842122357,1.0,19,true,true,true,true
29009,ILHEUS,BA,Nordeste,211,24,194,208,6319144,0.9567307692307693,0.12371134020618557,3.339059847346413,0.919431279620853,19,false,false,false,false
29010,IRECE,BA,Nordeste,9,0,6,9,7741578,0.8888888888888888,0.0,0.11625536809162162,0.6666666666666666,19,true,true,true,true
29011,ITABERABA,BA,Nordeste,2,0,1,2,4710249,1.0,0.0,0.04246060027824431,0.5,19,true,true,true,true
29012,ITABUNA,BA,Nordeste,139,28,130,133,9549104,0.9172932330827067,0.2153846153846154,1.4556339526724182,0.935251798561151,19,false,false,false,false
29013,ITAPETINGA,BA,Nordeste,5,1,5,4,4549223,0.75,0.2,0.109908878944822,1.0,19,true,true,true,true
29014,JACOBINA,BA,Nordeste,6,1,3,6,7337924,0.6666666666666666,0.3333333333333333,0.08176699567888683,0.5,19,true,true,true,true
29015,JEQUIE,BA,Nordeste,47,4,42,47,9721133,0.9361702127659575,0.09523809523809523,0.4834827380717865,0.8936170212765957,19,false,false,false,true
29016,JUAZEIRO,BA,Nordeste,6,0,5,5,10180529,1.0,0.0,0.05893603367762127,0.8333333333333334,19,true,true,true,true
29017,PAULO AFONSO,BA,Nordeste,2,0,2,2,4648484,0.5,0.0,0.04302477969161559,1.0,19,true,true,true,true
