health_region_code,uf_abbr,region,cases,deaths,outcome_known,hospitalised,hosp_known,H,H_quintile
43027,RS,Sul,187,8,172,123,179,0.6871508379888268,2
31008,MG,Sudeste,142,6,132,97,141,0.6879432624113475,2
35092,SP,Sudeste,109,9,108,73,106,0.6886792452830188,2
35104,SP,Sudeste,52,6,50,34,49,0.6938775510204082,2
43002,RS,Sul,51,2,42,34,49,0.6938775510204082,2
41002,PR,Sul,3476,366,3334,2405,3444,0.6983159117305459,2
16002,AP,Norte,32,2,24,21,30,0.7,2
41020,PR,Sul,80,6,79,54,77,0.7012987012987013,2
43019,RS,Sul,37,1,30,26,37,0.7027027027027027,2
43007,RS,Sul,706,43,630,492,696,0.7068965517241379,2
35063,SP,Sudeste,58,2,58,41,58,0.7068965517241379,2
35071,SP,Sudeste,151,10,132,104,147,0.7074829931972789,2
11002,RO,Norte,65,1,65,46,65,0.7076923076923077,2
41016,PR,Sul,174,10,163,122,172,0.7093023255813954,3
35011,SP,Sudeste,1427,185,1266,983,1383,0.7107736804049168,3
43030,RS,Sul,333,18,317,235,330,0.7121212121212122,3
42012,SC,Sul,125,5,123,89,124,0.717741935483871,3
41009,PR,Sul,76,6,74,54,75,0.72,3
23023,CE,Nordeste,236,3,209,166,230,0.7217391304347827,3
35141,SP,Sudeste,41,3,41,29,40,0.725,3
41022,PR,Sul,94,9,89,66,91,0.7252747252747253,3
43010,RS,Sul,1643,126,1548,1109,1528,0.7257853403141361,3
26005,PE,Nordeste,75,4,71,53,73,0.726027397260274,3
41011,PR,Sul,91,9,89,64,88,0.7272727272727273,3
33007,RJ,Sudeste,240,45,202,169,232,0.728448275862069,3
35163,SP,Sudeste,502,66,455,352,481,0.7318087318087318,3
35102,SP,Sudeste,34,4,32,25,34,0.7352941176470589,3
25001,PB,Nordeste,270,34,252,192,260,0.7384615384615385,3
43025,RS,Sul,116,8,110,85,115,0.7391304347826086,3
41019,PR,Sul,48,6,48,34,46,0.7391304347826086,3
43014,RS,Sul,363,6,354,262,354,0.7401129943502824,3
43026,RS,Sul,83,4,74,60,81,0.7407407407407407,3
27002,AL,Nordeste,34,1,29,23,31,0.7419354838709677,3
51008,MT,Centro-Oeste,38,3,25,26,35,0.7428571428571429,3
31057,MG,Sudeste,43,0,42,32,43,0.7441860465116279,3
35171,SP,Sudeste,328,35,303,230,309,0.7443365695792881,3
33001,RJ,Sudeste,150,14,129,102,137,0.7445255474452555,3
43029,RS,Sul,288,25,267,210,282,0.7446808510638298,3
42002,SC,Sul,247,1,234,181,243,0.7448559670781894,3
42016,SC,Sul,414,9,394,304,408,0.7450980392156863,3
31048,MG,Sudeste,86,11,81,62,83,0.7469879518072289,3
43008,RS,Sul,635,61,572,436,583,0.7478559176672385,3
31059,MG,Sudeste,109,13,107,81,108,0.75,3
35101,SP,Sudeste,50,7,45,36,48,0.75,3
35157,SP,Sudeste,32,1,31,24,32,0.75,3
41018,PR,Sul,98,7,96,72,96,0.75,3
35064,SP,Sudeste,33,8,31,25,33,0.7575757575757576,3
35151,SP,Sudeste,96,3,92,73,96,0.7604166666666666,3
43013,RS,Sul,241,5,226,181,237,0.7637130801687764,3
41017,PR,Sul,221,24,213,166,217,0.7649769585253456,3
35155,SP,Sudeste,83,16,81,62,81,0.7654320987654321,3
42011,SC,Sul,842,69,835,642,838,0.766109785202864,3
41006,PR,Sul,111,6,106,82,107,0.7663551401869159,3
15011,PA,Norte,185,29,145,133,173,0.7687861271676301,3
43028,RS,Sul,1381,36,1339,1063,1373,0.774217042971595,3
15014,PA,Norte,105,18,96,73,94,0.776595744680851,3
35142,SP,Sudeste,36,0,36,28,36,0.7777777777777778,3
35172,SP,Sudeste,168,13,155,126,162,0.7777777777777778,3
42009,SC,Sul,54,3,54,42,54,0.7777777777777778,3
15002,PA,Norte,201,25,192,154,198,0.7777777777777778,3
43023,RS,Sul,194,18,179,148,190,0.7789473684210526,3
41004,PR,Sul,83,3,80,64,82,0.7804878048780488,3
35174,SP,Sudeste,112,16,106,86,110,0.7818181818181819,3
31036,MG,Sudeste,37,9,37,29,37,0.7837837837837838,3
31074,MG,Sudeste,34,4,30,26,33,0.7878787878787878,3
41003,PR,Sul,271,28,268,210,266,0.7894736842105263,4
35062,SP,Sudeste,39,3,39,30,38,0.7894736842105263,4
31021,MG,Sudeste,35,2,34,27,34,0.7941176470588235,4
23025,CE,Nordeste,156,6,150,124,156,0.7948717948717948,4
43015,RS,Sul,98,0,87,78,98,0.7959183673469388,4
31044,MG,Sudeste,60,13,57,47,59,0.7966101694915254,4
42010,SC,Sul,159,4,153,127,159,0.7987421383647799,4
35131,SP,Sudeste,40,4,38,32,40,0.8,4
43003,RS,Sul,57,6,52,46,57,0.8070175438596491,4
33002,RJ,Sudeste,59,8,50,47,58,0.8103448275862069,4
43016,RS,Sul,109,1,86,87,107,0.8130841121495327,4
43011,RS,Sul,81,6,76,66,81,0.8148148148148148,4
43017,RS,Sul,195,6,175,155,190,0.8157894736842105,4
41001,PR,Sul,327,54,310,267,326,0.8190184049079755,4
31078,MG,Sudeste,34,0,34,28,34,0.8235294117647058,4
23011,CE,Nordeste,75,6,66,61,74,0.8243243243243243,4
13001,AM,Norte,791,92,764,652,787,0.8284625158831004,4
26006,PE,Nordeste,79,10,64,63,76,0.8289473684210527,4
26010,PE,Nordeste,3771,468,3506,2842,3423,0.8302658486707567,4
35073,SP,Sudeste,125,8,113,103,124,0.8306451612903226,4
31092,MG,Sudeste,54,1,50,45,54,0.8333333333333334,4
24007,RN,Nordeste,100,15,77,83,99,0.8383838383838383,4
35132,SP,Sudeste,56,8,50,47,56,0.8392857142857143,4
42003,SC,Sul,63,2,60,53,63,0.8412698412698413,4
43018,RS,Sul,155,1,146,128,152,0.8421052631578947,4
15003,PA,Norte,33,3,29,27,32,0.84375,4
52011,GO,Centro-Oeste,40,4,37,33,39,0.8461538461538461,4
31035,MG,Sudeste,40,8,38,33,39,0.8461538461538461,4
31099,MG,Sudeste,36,4,35,28,33,0.8484848484848485,4
43020,RS,Sul,60,2,52,51,60,0.85,4
29006,BA,Nordeste,62,10,51,51,60,0.85,4
31037,MG,Sudeste,41,8,38,34,40,0.85,4
33004,RJ,Sudeste,382,49,346,314,369,0.8509485094850948,4
42014,SC,Sul,131,7,121,109,128,0.8515625,4
15006,PA,Norte,1169,159,1007,959,1116,0.8593189964157706,4
31045,MG,Sudeste,50,6,46,43,50,0.86,4
42008,SC,Sul,59,2,59,51,59,0.864406779661017,4
23024,CE,Nordeste,38,1,32,32,37,0.8648648648648649,4
52001,GO,Centro-Oeste,90,12,88,77,89,0.8651685393258427,4
41015,PR,Sul,105,12,104,91,105,0.8666666666666667,4
31075,MG,Sudeste,62,7,60,53,61,0.8688524590163934,4
24006,RN,Nordeste,42,0,35,34,39,0.8717948717948718,4
27004,AL,Nordeste,88,11,72,75,86,0.872093023255814,4
27003,AL,Nordeste,89,11,79,77,88,0.875,4
23001,CE,Nordeste,1006,114,943,847,967,0.8759048603929679,4
35041,SP,Sudeste,1018,222,925,859,980,0.8765306122448979,4
27001,AL,Nordeste,743,92,698,647,738,0.8766937669376694,4
13002,AM,Norte,61,5,51,51,58,0.8793103448275862,4
35012,SP,Sudeste,140,17,125,117,133,0.8796992481203008,4
31017,MG,Sudeste,106,14,100,89,101,0.8811881188118812,4
41021,PR,Sul,51,6,45,45,51,0.8823529411764706,4
35016,SP,Sudeste,3633,507,3229,3169,3565,0.8889200561009818,5
35013,SP,Sudeste,343,29,274,294,330,0.8909090909090909,5
52002,GO,Centro-Oeste,46,2,35,41,46,0.8913043478260869,5
26003,PE,Nordeste,159,17,132,133,149,0.8926174496644296,5
31097,MG,Sudeste,77,11,73,69,77,0.8961038961038961,5
53001,DF,Centro-Oeste,377,46,313,328,366,0.8961748633879781,5
33005,RJ,Sudeste,1947,346,1711,1690,1869,0.904226859283039,5
31016,MG,Sudeste,429,38,396,378,418,0.9043062200956937,5
35015,SP,Sudeste,596,85,565,530,586,0.9044368600682594,5
35014,SP,Sudeste,580,98,489,503,556,0.9046762589928058,5
33006,RJ,Sudeste,585,114,446,505,558,0.9050179211469535,5
21014,MA,Nordeste,33,6,32,29,32,0.90625,5
29027,BA,Nordeste,45,7,41,41,45,0.9111111111111111,5
